anonymous_id,BICF2G630691191,BICF2G630691207,BICF2G630691220,BICF2G630691225,BICF2G630691232,BICF2G630691235,BICF2G630691255,BICF2G630691280,BICF2G630691318,BICF2G630691338,BICF2G630691371,BICF2G630691373,BICF2G630691391,BICF2G630691407,BICF2G630691412,BICF2G630691442_dup,BICF2G630691458_dup,BICF2G630691475_dup,BICF2G630691497_dup,BICF2G630691508_dup,BICF2G630691514_dup,BICF2G630691519_dup,BICF2S22920989_dup,BICF2G630691523,BICF2G630691548,BICF2G630691563,BICF2G630691586,BICF2G630691635,BICF2G630691654,BICF2G630691658,BICF2G630691664,BICF2G630691666,BICF2G630691701,BICF2G630691707,BICF2G630691725,BICF2P253221,BICF2P499704,BICF2P54504,BICF2P54505,BICF2P660085,BICF2P844269,BICF2P919478,BICF2S23028732,chr18_44659214,chr18_44659335,chr18_44713998,chr18_44727333,chr18_44986425,chr18_44986939,chr18_44987913
0011,-0.0777,-0.1288,-0.0415,-0.0239,0.0169,0.2523,-0.3913,0.3807,0.0656,0.0169,0.0425,0.3619,-0.0712,0.1008,-0.5498,-0.1126,0.0074,-0.229,0.1219,0.0517,-0.0754,-0.2614,-0.1947,0.1556,-0.2612,-0.1084,-0.2873,-0.1577,-0.0644,-0.1438,-0.1627,0.0039,-0.5204,0.0101,-0.0239,0.1056,-0.0771,0.0334,0.0998,-0.3351,0.0432,-0.1819,0.0238,0.0451,-0.3413,-0.0224,0.2551,-0.0101,-0.5571,0.0909
0012,0.0178,-0.087,0.0261,0.0635,0.0601,0.1683,-0.2006,0.2628,0.146,0.1511,0.0061,0.2394,-0.0904,-0.0118,-0.3823,-0.0819,-0.1127,-0.0095,0.0587,0.0719,-0.1577,-0.3108,-0.026,0.1211,-0.0846,-0.0064,-0.2489,-0.3343,0.0173,0.0061,-0.0851,0.0265,-0.3964,-0.0159,-0.0647,-0.0657,-0.0514,0.0492,0.1705,-0.1823,0.0212,-0.3928,0.007,0.0275,-0.1133,0.0506,0.0959,0.0414,-0.3159,0.0706
0013,0.2237,0.0874,-0.0066,-0.2709,-0.0297,0.1925,-0.1555,0.0174,0.0998,0.3467,0.173,0.394,0.3019,0.2191,-0.6159,0.2051,0.3131,0.3307,0.2447,0.1882,0.2721,-0.3642,-0.1101,0.1538,-0.3927,0.2295,0.1403,0.1106,-0.042,0.0839,-0.035,0.2823,-0.6603,0.0794,0.0745,-0.0221,0.0473,0.3078,0.12,0.4281,0.0278,-0.14,0.0085,0.2036,0.2801,-0.0976,0.0222,0.0841,-0.2257,0.1361
0014,0.4599,0.0873,0.0878,-0.1943,0.0863,0.1685,-0.0941,0.1318,0.2028,0.253,0.3634,0.3505,0.779,0.422,-0.1968,0.432,0.2079,0.2567,0.4866,0.2879,0.4219,-0.0183,-0.0045,0.2936,-0.114,0.334,0.372,0.1334,0.2394,0.5362,0.1494,0.4794,-0.3162,0.3036,0.429,0.0994,0.2098,0.2924,0.1702,0.7589,0.2277,0.0492,0.1544,0.1785,0.3209,0.1407,0.0835,0.1918,-0.036,0.0207
0015,-0.2987,-0.0646,-0.1347,-0.1155,0.1501,0.1483,-0.4638,-0.2321,-0.052,0.1003,-0.1196,0.0592,-0.2465,0.1178,-0.2605,-0.1508,-0.4331,-0.6971,-0.0599,-0.1697,-0.2624,-0.3857,-0.332,0.1094,-0.4654,-0.4706,-0.3682,-0.4151,-0.121,-0.6398,-0.4243,-0.1638,-0.8623,0.0043,0.0745,-0.3611,-0.55,-0.0143,0.0626,-0.4812,-0.0522,-0.1765,-0.2113,-0.0256,-0.3246,-0.093,0.1355,0.1018,-0.329,-0.0237
0016,-0.3008,-0.4895,-0.0412,0.0289,0.0386,0.0042,-0.1139,-0.1127,-0.1584,0.0182,-0.0263,0.0706,-0.1136,0.0291,-0.053,-0.0723,-0.1859,-0.4365,-0.0548,-0.0698,-0.0985,-0.1508,-0.0078,0.073,-0.1691,-0.2412,-0.0833,-0.2614,0.0643,-0.1842,-0.3602,-0.1129,-0.5014,-0.0455,0.0106,-0.0117,-0.2743,0.0657,0.0486,-0.1338,-0.0097,-0.1108,-0.0599,-0.0133,-0.0796,-0.06,0.0127,-0.0207,-0.1284,-0.0561
0017,-0.2699,-0.0986,0.0087,-0.2013,0.0928,0.1667,-0.2638,-0.2817,-0.1578,0.1066,-0.1342,0.0536,-0.1453,0.0881,-0.2484,-0.1126,-0.2117,-0.2681,-0.1413,0.0475,-0.2418,-0.1556,-0.2773,0.0882,-0.2649,-0.2267,-0.1782,-0.3034,0.0826,-0.3725,-0.4372,0.0352,-0.6399,0.0106,0.0539,-0.2908,-0.1562,0.0968,0.1292,-0.2819,-0.0375,-0.0152,-0.0115,-0.0067,-0.3121,-0.0882,0.1782,-0.0543,-0.2901,-0.0399
0018,-0.0236,-0.0248,0.0142,-0.056,-0.0286,-0.0336,-0.1473,-0.0812,-0.0514,0.0452,-0.0354,0.0237,0.002,0.1408,-0.0409,-0.0409,0.126,-0.1046,0.1058,-0.0235,-0.016,0.0109,0.1181,0.0793,0.059,-0.0086,-0.1431,-0.117,0.0108,-0.0765,0.046,0.1553,-0.1836,-0.0593,-0.0444,-0.1129,-0.1617,-0.1181,0.0257,0.01,-0.045,0.0893,0.0047,0.1088,0.0046,0.0211,-0.1588,-0.0094,-0.0761,-0.0048
0019,0.3377,-0.0711,-0.085,-0.3184,-0.2716,0.4524,-0.4435,0.025,0.319,0.3983,-0.3104,0.5722,0.2898,0.4149,-0.4714,0.1859,0.3398,-0.0343,0.2767,0.4949,-0.2053,-0.4224,-0.535,0.4222,-0.3443,0.1578,0.005,-0.3415,0.0419,-0.1887,-0.1821,0.3688,-0.6023,0.4521,0.2295,-0.1137,0.1182,0.251,0.3364,0.336,0.0757,-0.1079,0.3127,0.2919,0.3391,0.0647,0.3728,0.1331,-0.545,0.2003
0020,-0.0747,0.0077,-0.0283,-0.2227,-0.2206,0.0696,-0.2171,0.1475,0.0631,0.2231,0.0038,0.1691,0.0419,0.0901,-0.2975,0.1003,0.041,-0.1056,-0.0329,0.11,0.0052,-0.1926,0.0502,0.0931,-0.2092,0.297,-0.4418,-0.2465,0.0373,-0.3798,0.0455,0.1051,-0.5444,0.0389,0.0524,-0.0576,-0.0247,0.1034,0.1656,-0.0633,-0.1208,0.0114,0.125,0.1393,0.0903,-0.11,0.0015,0.1039,-0.2534,0.0701
0021,-0.2175,-0.5401,-0.2875,-0.1688,-0.0371,0.0399,-0.2612,-0.4322,-0.1093,0.1614,-0.2396,0.0927,-0.1466,0.0157,-0.2067,-0.3909,-0.0194,0.0685,-0.1864,-0.1146,0.0861,-0.1958,-0.0631,0.169,-0.2503,0.0135,-0.2874,-0.0634,0.0707,-0.3302,-0.0891,0.1503,-0.7857,0.0799,0.048,-0.2287,-0.1247,0.0704,0.0795,-0.3064,-0.1015,-0.13,0.1906,0.0725,-0.2334,-0.1556,0.1747,0.1028,-0.2734,0.0529
0022,-0.2976,-0.0132,-0.0194,-0.1153,0.0428,0.0579,-0.2676,-0.2012,-0.0077,0.0133,-0.1093,0.0338,-0.324,-0.1138,-0.211,-0.2697,-0.1848,-0.1025,-0.1877,-0.039,0.0008,-0.2344,0.1434,0.141,-0.0853,0.0247,-0.4781,-0.001,-0.1889,-0.883,-0.2245,0.1675,-0.6084,-0.0758,0.0864,-0.255,-0.1796,0.0595,0.2054,-0.2781,-0.116,-0.139,0.0337,0.1791,-0.0614,-0.0833,0.0134,-0.0008,-0.1859,0.0237
0023,-0.1569,0.075,-0.0701,0.0492,0.1275,-0.002,-0.1173,0.1409,-0.0523,0.0554,-0.1402,-0.0405,-0.3866,-0.0776,0.0272,-0.0588,0.012,-0.0221,-0.0243,-0.1906,0.1344,-0.152,0.2781,0.0103,-0.0572,0.1974,-0.3976,-0.0238,-0.1621,-0.5159,0.0162,0.0516,-0.0728,-0.0287,0.0655,-0.1233,-0.1004,0.0193,0.0586,-0.414,-0.0366,0.1211,0.0232,0.0949,0.1215,-0.0627,-0.1138,0.0287,0.0131,0.0256
0024,0.1988,0.109,-0.0645,-0.2638,-0.0942,0.1832,-0.3164,0.2311,0.0455,0.3864,0.0249,0.2529,0.0765,0.1742,-0.2171,0.0093,0.2799,0.0654,0.0135,0.1877,0.4316,-0.1952,0.253,0.1737,-0.0858,0.4612,-0.2438,-0.1256,-0.0314,-0.0491,0.2479,0.2405,-0.2321,0.2783,-0.0126,-0.0214,0.0701,0.2017,0.2929,0.0309,0.0754,0.0231,0.154,0.3159,0.1763,0.0043,0.1773,0.1438,-0.1773,0.1763
0025,0.0968,-0.2882,-0.0407,-0.1669,0.2033,0.2195,-0.0915,-0.1442,0.1432,0.2722,0.2135,0.3575,0.4175,0.396,-0.3469,0.1301,0.3776,0.26,0.1867,0.3131,0.6627,-0.2533,-0.009,0.2622,-0.2531,0.4777,0.1144,0.1162,0.2129,0.5199,0.0561,0.3303,-0.4954,0.3038,0.0651,-0.0986,0.0224,0.2893,0.2437,0.5192,0.2279,0.1603,0.23,0.2757,0.3919,0.089,0.1662,0.1229,-0.2816,0.1176
0026,0.0913,-0.2896,-0.0581,-0.2203,0.1282,0.207,-0.1259,-0.3018,0.0033,0.2979,0.0126,0.2362,0.2587,0.2906,-0.2671,0.2151,0.2893,0.1838,0.1718,0.2644,0.2113,-0.2271,-0.066,0.1471,-0.3337,0.4055,0.005,0.035,0.0802,0.1767,0.2826,0.1556,-0.5845,0.2499,0.0098,-0.2045,0.3102,0.2211,0.2281,0.3773,0.0413,0.0135,0.2045,0.1089,0.2023,0.0147,0.0895,0.0892,-0.4307,0.0866
0027,0.5133,0.2063,-0.0579,-0.7633,-0.1145,0.2704,-0.3333,-0.075,0.1923,0.5009,0.2462,0.4878,0.555,0.5025,-0.4089,0.183,0.6359,0.5427,0.4124,0.5368,0.7837,-0.9973,-0.1048,0.3619,-0.4334,0.6598,0.268,0.1485,0.0774,0.4702,0.4656,0.4279,-0.7668,0.3945,0.0199,-0.0132,0.1608,0.481,0.2813,0.388,0.2557,-0.0166,0.6301,0.2935,0.3843,0.0234,0.3888,0.2029,-0.4199,0.2888
0028,-0.3567,-0.0001,-0.0416,-0.1337,-0.0531,0.0306,-0.2283,-0.3268,-0.0794,-0.1109,-0.2059,0.0281,-0.0694,0.1081,-0.1978,-0.0874,-0.0478,-0.2577,-0.0063,-0.0409,-0.0517,-0.2393,0.0151,0.0815,-0.2641,-0.0579,-0.3409,-0.2459,0.0895,-0.3488,-0.33,-0.0064,-0.8538,-0.0038,-0.0004,-0.2967,-0.129,0.0557,0.0117,-0.2636,-0.0926,-0.0028,-0.0844,-0.02,-0.0565,-0.0734,0.0226,0.0007,-0.2613,-0.0415
0029,-0.3558,0.0778,-0.2786,-0.122,0.2629,0.1071,-0.3682,-0.1007,-0.1397,0.0261,-0.3587,0.1946,-0.2484,-0.0223,-0.2025,-0.4351,-0.2792,-0.1766,-0.0982,-0.0042,-0.1171,-0.4989,-0.1961,0.112,-0.4266,0.0719,-0.3397,-0.1089,-0.0267,-0.5922,0.0176,0.0665,-1.0533,-0.0172,-0.0362,-0.3879,-0.3637,0.0963,0.2833,-0.5985,-0.0683,-0.0302,0.2268,0.0948,-0.1957,-0.2556,0.2657,0.1806,-0.4081,0.0087
0030,-0.102,-0.0225,0.0107,-0.1777,0.1239,0.0729,-0.0266,-0.2331,-0.0938,0.153,-0.07,0.1765,0.1213,0.0627,-0.3284,-0.0614,-0.0621,-0.1173,0.092,0.1669,0.0268,-0.1012,-0.1185,0.0981,-0.085,0.0998,-0.2384,-0.0527,0.0641,-0.1786,-0.0319,0.1403,-0.5853,0.065,-0.0277,-0.221,-0.0773,0.1366,0.1626,0.0461,0.0156,-0.1215,0.0102,0.1685,0.067,-0.0248,0.0833,0.1325,-0.3327,-0.0148
0031,-0.0993,-0.3694,0.018,-0.0094,0.1041,0.051,-0.0772,0.0593,-0.0983,0.0357,-0.1964,0.0005,0.0697,-0.0158,-0.1038,-0.0143,0.0842,-0.0918,0.074,0.0913,0.1111,-0.0659,0.1589,0.0762,-0.1435,-0.0377,-0.4974,-0.0404,-0.0243,-0.2437,-0.2122,0.2108,-0.1614,0.0551,0.0141,-0.1365,-0.0434,-0.0793,0.0617,-0.1699,-0.0129,0.035,-0.0898,0.083,0.0449,-0.0781,0.0426,-0.035,-0.1272,0.0201
0032,-0.0208,-0.3514,0.1255,-0.0695,0.0848,0.2184,-0.2231,0.1884,0.0074,0.1949,0.0011,0.3479,0.4085,0.2413,-0.3714,0.0514,0.0535,0.168,0.1369,0.1334,0.2491,-0.6125,0.3301,0.1795,-0.2202,0.1665,-0.4852,-0.028,-0.0575,-0.1108,-0.0941,0.2678,-0.3685,0.1654,-0.0284,-0.1177,0.0311,0.1166,0.0756,0.0274,0.1032,-0.1686,0.191,0.1442,0.0255,-0.0847,0.1498,0.066,-0.2739,0.1066
0033,0.1479,0.0994,0.169,-0.2496,-0.0778,0.0625,-0.497,0.1128,-0.1592,0.0379,-0.3765,0.2324,-0.042,0.1814,-0.5072,0.0364,0.0497,0.0004,0.0215,-0.0184,0.1152,-0.4856,-0.0075,-0.0026,-0.4689,0.2918,-0.4122,-0.3618,-0.3282,-0.4675,-0.0354,0.1293,-0.4654,0.0628,-0.0795,-0.1603,0.0302,0.0284,0.1502,-0.43,0.0538,-0.0919,0.055,-0.1113,-0.2705,-0.1146,0.094,0.097,-0.3223,0.1527
0034,0.0257,0.1917,-0.1994,-0.0136,0.1971,0.0366,0.0313,0.464,-0.0567,0.0294,-0.2466,0.1564,0.0507,0.0436,-0.1768,0.1572,0.1185,0.3931,0.0964,0.0651,0.4192,-0.1091,0.3827,0.0733,0.0531,0.2673,-0.4584,-0.0325,-0.001,0.0309,-0.2374,0.1614,0.2635,0.0549,0.0255,-0.0217,0.1267,0.0192,0.0835,0.2731,0.0596,-0.1015,-0.0351,0.1674,0.1033,-0.0492,-0.0991,-0.0339,0.0717,0.0324
0035,0.1353,0.0997,-0.142,0.0528,0.1188,0.1185,-0.0919,0.3014,-0.0456,-0.018,-0.2464,0.0017,-0.0762,-0.0629,-0.2908,0.0463,0.029,0.1633,0.0519,-0.1364,0.3266,-0.938,0.1268,-0.0305,-0.2682,0.2075,-0.4637,-0.3099,-0.1969,-0.3825,-0.3497,0.1228,-0.2972,0.0171,-0.1234,0.0911,-0.0682,0.0056,0.0969,-0.1788,-0.0561,-0.0267,-0.1431,-0.0982,-0.2087,-0.2911,-0.1438,0.0938,-0.086,0.0208
0036,-0.0636,0.0,-0.0065,-0.0116,-0.0171,0.0579,-0.2006,-0.3134,-0.1109,0.014,-0.042,-0.0731,0.1988,0.0738,-0.159,0.3402,0.3284,0.2949,0.4632,0.2678,0.7018,0.2789,0.0585,0.1964,-0.2215,0.2926,-0.1434,0.1568,-0.0604,-0.2145,0.0726,0.2467,-0.6136,0.0911,0.0936,-0.1422,-0.0015,0.0365,0.0478,0.4486,0.0115,0.0506,0.0549,0.2461,0.2429,-0.0596,-0.0203,0.1906,-0.1671,0.1699
0037,-0.3848,-0.0428,-0.0375,0.0224,0.1239,0.0192,0.0673,-0.3551,-0.0622,0.1158,-0.0595,-0.0412,0.21,0.0617,-0.0122,0.0008,-0.1114,-0.1357,0.0971,0.0281,0.2467,0.108,-0.0288,0.1334,0.0309,0.1861,-0.1994,0.1015,-0.0163,-0.2935,-0.018,0.0953,-0.5996,0.054,-0.0693,-0.1278,-0.0536,0.0641,0.1616,0.3156,-0.0346,0.1709,-0.032,0.0605,0.1618,-0.0834,0.0057,0.0417,-0.0222,-0.0885
0038,-0.1955,0.2122,0.017,-0.1252,0.0441,0.0897,-0.0994,-0.1013,-0.1437,0.1221,-0.2668,-0.0826,0.1555,0.0801,-0.2072,0.0794,0.1765,0.3562,-0.0269,0.099,0.2703,-0.1273,0.2035,0.1099,-0.1586,0.4555,-0.0931,0.2412,-0.0524,-0.0468,0.1123,0.2015,-0.4418,0.1022,-0.0441,-0.1228,0.0747,0.081,0.0621,0.2404,-0.0836,0.0245,0.0695,0.2411,0.3706,-0.1337,0.0082,0.0268,-0.2213,0.1323
0039,0.1083,0.0558,-0.1311,-0.3925,-0.3695,0.2157,-0.1715,-0.278,-0.0055,0.406,0.2237,0.4082,0.63,0.211,-0.5527,0.3288,0.4343,0.3928,0.163,0.4183,0.5853,-0.4182,-0.124,0.2339,-0.4964,0.826,0.2387,0.2655,-0.0194,0.0562,0.5296,0.3393,-1.3919,0.2379,0.0887,-0.1747,0.1796,0.4678,0.1707,0.7236,0.0563,-0.1559,0.267,0.3112,0.473,-0.0787,0.169,0.1549,-0.4126,0.2838
0040,-0.2954,0.02,0.0565,-0.385,-0.0109,-0.0061,-0.1783,-0.4952,-0.234,0.2559,-0.0152,0.3232,0.3661,0.1751,-0.1788,0.2411,0.1554,0.0365,0.1837,0.113,0.3352,-0.0038,-0.0644,0.1272,-0.2319,0.4247,-0.1399,0.0485,0.0312,0.1563,0.1886,0.4096,-1.1592,0.1392,-0.0856,-0.1991,0.0533,0.1411,0.0208,0.6146,0.024,0.0175,0.1503,0.1947,0.445,-0.1752,0.1806,-0.0402,-0.3563,0.0025
0041,0.2367,0.1762,0.1152,0.2919,0.2437,-0.0664,0.1283,0.419,-0.1091,-0.046,-0.2361,-0.1527,-0.1184,-0.0493,-0.1545,0.0149,0.1348,0.1594,0.1413,-0.1669,0.1976,-0.1568,0.155,-0.1048,-0.1514,-0.0858,-0.3066,-0.253,-0.1796,-0.1371,-0.0722,0.0261,-0.0326,-0.1039,-0.0002,0.1321,-0.1517,0.093,0.0577,0.0571,-0.0439,0.0067,-0.2856,0.07,0.0078,-0.0911,-0.3446,0.0678,0.0849,0.0247
0042,0.2117,0.0806,0.0754,-0.0844,-0.3493,0.1789,-0.3361,0.2944,0.1279,0.011,-0.1814,0.2634,-0.0851,0.1245,-0.4527,0.0467,0.0174,0.2199,0.1125,-0.1013,0.2822,-0.5659,0.2502,0.0179,-0.4323,0.3547,-0.3669,-0.2448,0.0127,-0.5466,0.0873,0.2749,-0.7706,-0.0477,0.0078,0.0997,-0.0276,0.2164,0.2287,-0.2727,0.0079,-0.2222,0.0634,0.1353,-0.3749,-0.0153,0.0755,0.1206,-0.3145,0.2195
0043,0.2201,0.0889,0.0757,-0.049,-0.2094,0.1137,0.0194,0.4885,-0.0982,-0.0378,-0.2157,0.0301,-0.1565,-0.0342,-0.4316,-0.0229,0.1234,0.4382,0.1171,-0.1575,0.1463,-0.3726,0.0351,-0.1869,-0.2765,0.0562,-0.4248,-0.2978,-0.295,-0.514,-0.1145,0.1852,-0.2078,-0.2722,-0.0471,0.1976,-0.2133,0.0473,0.1206,-0.0146,-0.1635,-0.1769,-0.2198,-0.0119,-0.2761,-0.0909,-0.207,0.0413,0.015,0.1023
0044,0.7144,0.0412,0.0072,-0.1004,-0.0208,0.3027,-0.2216,0.4465,0.247,0.3388,0.3227,0.6042,0.5364,0.5559,-0.2662,0.4389,0.4379,0.8143,0.3684,0.6052,0.7494,-0.5208,0.3244,0.1484,-0.4113,0.6936,0.6057,0.3447,0.1242,0.7002,0.4183,0.2479,-0.0489,0.5075,0.2362,0.3588,0.3307,0.3379,0.2239,0.859,0.3471,0.2505,0.2832,0.2916,0.4563,0.0561,0.1659,0.1846,0.0616,0.2124
0045,0.0899,-0.2343,-0.0138,0.0869,0.0465,0.1148,-0.1536,0.406,0.0298,-0.0408,-0.3131,-0.0557,0.042,-0.0599,-0.2221,-0.0303,0.101,-0.0287,0.0258,-0.1331,0.1208,-0.1943,-0.2089,-0.064,-0.1162,0.0014,-0.3377,-0.2631,-0.0441,-0.0401,-0.3386,0.0403,-0.4141,-0.1591,-0.1142,0.076,-0.3847,0.2623,0.1511,-0.1307,-0.0731,-0.156,-0.2217,0.0772,-0.166,-0.0545,-0.1079,0.0558,-0.0951,0.0924
0046,0.1942,0.0187,0.045,0.0379,-0.0908,0.1077,-0.3501,0.3068,-0.0479,0.0581,-0.256,0.158,-0.0607,0.1074,-0.2558,0.0467,0.185,0.1962,0.0935,0.1289,0.1696,-0.3646,0.1788,0.0457,-0.1902,0.1851,-0.1827,-0.1716,-0.0527,-0.3726,-0.3246,0.1626,-0.2604,0.1065,0.014,0.0546,-0.0449,0.1204,0.1199,0.1831,-0.0037,-0.1097,-0.0163,0.1673,-0.0424,-0.0291,-0.0256,0.0803,-0.1915,0.1503
0047,-0.0405,0.051,0.0973,0.0543,-0.0119,0.025,0.0111,0.3254,-0.058,-0.1481,-0.0669,-0.0306,-0.2556,0.0197,-0.1002,0.0113,0.0826,0.1581,0.1735,-0.1136,0.2646,-0.1961,0.3695,-0.1107,-0.039,0.1633,-0.1033,-0.2339,-0.1868,-0.1986,0.1406,0.0955,-0.0892,-0.1133,-0.1118,0.0773,-0.5322,-0.0491,0.1206,0.0324,-0.0909,-0.0575,-0.2332,0.0454,-0.1628,-0.0261,-0.2165,0.0074,0.0116,0.0622
0048,0.5323,0.2219,0.0677,-0.0158,0.2027,0.2865,-0.016,0.5196,0.0974,0.1368,0.1092,0.4244,0.17,0.2706,-0.5155,0.3082,0.6014,0.5856,0.3872,0.3282,0.6078,-0.7409,0.3764,0.0486,-0.3967,0.6103,0.1406,-0.0388,-0.2858,0.2089,0.1678,0.2547,-0.3099,0.2209,0.1632,-0.0179,0.286,0.2661,0.1692,0.4067,0.1297,-0.0641,0.0768,0.0306,0.0007,0.0241,0.0044,0.2493,-0.0586,0.3946
